Namespace(algo='dqn', batch_size=64, checkpoint_freq=20000, discount=0.996, ent_coef=0.01, env='CartPole-v1', eps_decay=4000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.001, niter=10000, nproc=2, parallel_env=0, print_freq=200, replay_size=20000, save_dir='cartpole_dqn/', target_update=1000, train_freq=1, train_start=100, value_coef=0.5)
observation space: Box(4,)
action space: Discrete(2)
running on device cpu
obses on reset: 2 x (4,) float32
iter    200 |loss   0.02 |n_ep    16 |ep_len   25.8 |ep_rew  25.84 |raw_ep_rew  25.84 |env_step    400 |time 00:00 rem 00:11
iter   2800 |loss   0.03 |n_ep   159 |ep_len   65.2 |ep_rew  65.21 |raw_ep_rew  65.21 |env_step   5600 |time 00:05 rem 00:13
iter   3000 |loss   0.02 |n_ep   164 |ep_len   67.8 |ep_rew  67.76 |raw_ep_rew  67.76 |env_step   6000 |time 00:05 rem 00:13
iter   3200 |loss   0.00 |n_ep   168 |ep_len   84.9 |ep_rew  84.95 |raw_ep_rew  84.95 |env_step   6400 |time 00:05 rem 00:12
iter   3400 |loss   0.01 |n_ep   170 |ep_len   94.5 |ep_rew  94.46 |raw_ep_rew  94.46 |env_step   6800 |time 00:06 rem 00:12
iter   3600 |loss   0.03 |n_ep   172 |ep_len  114.2 |ep_rew 114.18 |raw_ep_rew 114.18 |env_step   7200 |time 00:06 rem 00:12
iter   3800 |loss   0.02 |n_ep   173 |ep_len  128.6 |ep_rew 128.56 |raw_ep_rew 128.56 |env_step   7600 |time 00:07 rem 00:12
iter   4000 |loss   0.01 |n_ep   174 |ep_len  143.2 |ep_rew 143.21 |raw_ep_rew 143.21 |env_step   8000 |time 00:07 rem 00:11
iter   4200 |loss   0.02 |n_ep   176 |ep_len  169.8 |ep_rew 169.85 |raw_ep_rew 169.85 |env_step   8400 |time 00:08 rem 00:11
iter   4400 |loss   0.05 |n_ep   178 |ep_len  189.6 |ep_rew 189.63 |raw_ep_rew 189.63 |env_step   8800 |time 00:08 rem 00:11
iter   4600 |loss   0.00 |n_ep   179 |ep_len  194.0 |ep_rew 193.96 |raw_ep_rew 193.96 |env_step   9200 |time 00:09 rem 00:10
iter   4800 |loss   0.01 |n_ep   181 |ep_len  203.8 |ep_rew 203.82 |raw_ep_rew 203.82 |env_step   9600 |time 00:09 rem 00:10
iter   5000 |loss   0.07 |n_ep   183 |ep_len  203.4 |ep_rew 203.39 |raw_ep_rew 203.39 |env_step  10000 |time 00:10 rem 00:10
iter   5200 |loss   0.01 |n_ep   184 |ep_len  204.8 |ep_rew 204.76 |raw_ep_rew 204.76 |env_step  10400 |time 00:10 rem 00:10
iter   5400 |loss   0.04 |n_ep   186 |ep_len  222.5 |ep_rew 222.46 |raw_ep_rew 222.46 |env_step  10800 |time 00:11 rem 00:09
iter   5600 |loss   0.01 |n_ep   188 |ep_len  221.0 |ep_rew 220.97 |raw_ep_rew 220.97 |env_step  11200 |time 00:11 rem 00:09
iter   5800 |loss   0.08 |n_ep   189 |ep_len  222.3 |ep_rew 222.28 |raw_ep_rew 222.28 |env_step  11600 |time 00:12 rem 00:08
iter   6000 |loss   0.00 |n_ep   191 |ep_len  232.9 |ep_rew 232.87 |raw_ep_rew 232.87 |env_step  12000 |time 00:12 rem 00:08
iter   6200 |loss   0.00 |n_ep   192 |ep_len  228.3 |ep_rew 228.29 |raw_ep_rew 228.29 |env_step  12400 |time 00:13 rem 00:08
iter   6400 |loss   0.01 |n_ep   194 |ep_len  252.1 |ep_rew 252.12 |raw_ep_rew 252.12 |env_step  12800 |time 00:13 rem 00:07
iter   6600 |loss   0.03 |n_ep   194 |ep_len  252.1 |ep_rew 252.12 |raw_ep_rew 252.12 |env_step  13200 |time 00:14 rem 00:07
iter   6800 |loss   0.01 |n_ep   196 |ep_len  258.7 |ep_rew 258.66 |raw_ep_rew 258.66 |env_step  13600 |time 00:14 rem 00:06
