Namespace(algo='dqn', batch_size=32, checkpoint_freq=500000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0001, niter=2000000, nproc=2, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.00 |n_ep    34 |ep_len   31.1 |ep_rew  -0.20 |raw_ep_rew   0.33 |env_step   1000 |time 00:07 rem 501:49
iter   9000 |loss   0.00 |n_ep   561 |ep_len   30.2 |ep_rew  -0.25 |raw_ep_rew   1.31 |env_step  18000 |time 02:46 rem 612:34
iter   9500 |loss   0.02 |n_ep   593 |ep_len   29.1 |ep_rew  -0.24 |raw_ep_rew   1.22 |env_step  19000 |time 02:57 rem 619:45
iter  10000 |loss   0.00 |n_ep   625 |ep_len   33.2 |ep_rew  -0.16 |raw_ep_rew   1.07 |env_step  20000 |time 03:08 rem 626:22
iter  10500 |loss   0.01 |n_ep   656 |ep_len   30.6 |ep_rew  -0.21 |raw_ep_rew   1.18 |env_step  21000 |time 03:20 rem 632:07
iter  11000 |loss   0.00 |n_ep   690 |ep_len   31.5 |ep_rew  -0.21 |raw_ep_rew   1.02 |env_step  22000 |time 03:31 rem 637:36
iter  11500 |loss   0.02 |n_ep   724 |ep_len   27.5 |ep_rew  -0.28 |raw_ep_rew   0.99 |env_step  23000 |time 03:42 rem 642:31
iter  12000 |loss   0.00 |n_ep   752 |ep_len   36.1 |ep_rew   0.04 |raw_ep_rew   1.25 |env_step  24000 |time 03:54 rem 646:50
iter  12500 |loss   0.00 |n_ep   784 |ep_len   30.3 |ep_rew  -0.17 |raw_ep_rew   1.22 |env_step  25000 |time 04:05 rem 651:03
iter  13000 |loss   0.00 |n_ep   814 |ep_len   36.2 |ep_rew  -0.05 |raw_ep_rew   1.36 |env_step  26000 |time 04:17 rem 654:41
iter  13500 |loss   0.01 |n_ep   851 |ep_len   24.0 |ep_rew  -0.40 |raw_ep_rew   0.78 |env_step  27000 |time 04:28 rem 658:07
iter  14000 |loss   0.00 |n_ep   879 |ep_len   30.4 |ep_rew  -0.21 |raw_ep_rew   1.22 |env_step  28000 |time 04:39 rem 661:23
iter  14500 |loss   0.01 |n_ep   909 |ep_len   26.2 |ep_rew  -0.32 |raw_ep_rew   1.13 |env_step  29000 |time 04:51 rem 664:15
iter  15000 |loss   0.00 |n_ep   944 |ep_len   25.5 |ep_rew  -0.35 |raw_ep_rew   0.89 |env_step  30000 |time 05:02 rem 667:06
iter  15500 |loss   0.00 |n_ep   974 |ep_len   34.8 |ep_rew  -0.06 |raw_ep_rew   1.22 |env_step  31000 |time 05:13 rem 669:33
iter  16000 |loss   0.01 |n_ep  1003 |ep_len   27.6 |ep_rew  -0.27 |raw_ep_rew   1.10 |env_step  32000 |time 05:25 rem 672:03
iter  16500 |loss   0.00 |n_ep  1034 |ep_len   32.7 |ep_rew  -0.19 |raw_ep_rew   1.10 |env_step  33000 |time 05:36 rem 674:12
iter  17000 |loss   0.00 |n_ep  1066 |ep_len   27.8 |ep_rew  -0.26 |raw_ep_rew   1.06 |env_step  34000 |time 05:47 rem 676:22
iter  17500 |loss   0.01 |n_ep  1092 |ep_len   37.3 |ep_rew   0.02 |raw_ep_rew   1.35 |env_step  35000 |time 05:59 rem 678:18
iter  18000 |loss   0.00 |n_ep  1123 |ep_len   31.6 |ep_rew  -0.17 |raw_ep_rew   1.53 |env_step  36000 |time 06:10 rem 680:04
iter  18500 |loss   0.01 |n_ep  1158 |ep_len   31.2 |ep_rew  -0.21 |raw_ep_rew   1.01 |env_step  37000 |time 06:22 rem 681:55
iter  19000 |loss   0.00 |n_ep  1187 |ep_len   36.1 |ep_rew  -0.06 |raw_ep_rew   1.37 |env_step  38000 |time 06:33 rem 683:30
iter  19500 |loss   0.00 |n_ep  1214 |ep_len   36.2 |ep_rew  -0.06 |raw_ep_rew   1.62 |env_step  39000 |time 06:44 rem 684:57
iter  20000 |loss   0.00 |n_ep  1237 |ep_len   40.0 |ep_rew   0.08 |raw_ep_rew   1.79 |env_step  40000 |time 06:55 rem 686:22
iter  20500 |loss   0.00 |n_ep  1272 |ep_len   30.9 |ep_rew  -0.13 |raw_ep_rew   1.27 |env_step  41000 |time 07:07 rem 687:44
iter  21000 |loss   0.02 |n_ep  1300 |ep_len   32.9 |ep_rew  -0.19 |raw_ep_rew   1.52 |env_step  42000 |time 07:18 rem 689:06
iter  21500 |loss   0.01 |n_ep  1328 |ep_len   32.2 |ep_rew  -0.20 |raw_ep_rew   1.40 |env_step  43000 |time 07:30 rem 690:17
iter  22000 |loss   0.01 |n_ep  1360 |ep_len   30.5 |ep_rew  -0.21 |raw_ep_rew   1.30 |env_step  44000 |time 07:41 rem 691:27
iter  22500 |loss   0.00 |n_ep  1392 |ep_len   29.8 |ep_rew  -0.23 |raw_ep_rew   1.03 |env_step  45000 |time 07:52 rem 692:38
iter  23000 |loss   0.00 |n_ep  1423 |ep_len   33.2 |ep_rew  -0.15 |raw_ep_rew   1.20 |env_step  46000 |time 08:04 rem 693:41
iter  23500 |loss   0.00 |n_ep  1452 |ep_len   31.8 |ep_rew  -0.19 |raw_ep_rew   1.03 |env_step  47000 |time 08:15 rem 694:43
iter  24000 |loss   0.00 |n_ep  1477 |ep_len   37.6 |ep_rew  -0.01 |raw_ep_rew   1.58 |env_step  48000 |time 08:26 rem 695:39
iter  24500 |loss   0.00 |n_ep  1501 |ep_len   36.7 |ep_rew  -0.11 |raw_ep_rew   1.74 |env_step  49000 |time 08:38 rem 696:27
iter  25000 |loss   0.00 |n_ep  1535 |ep_len   30.6 |ep_rew  -0.17 |raw_ep_rew   1.35 |env_step  50000 |time 08:49 rem 697:24
iter  25500 |loss   0.00 |n_ep  1562 |ep_len   36.4 |ep_rew  -0.07 |raw_ep_rew   1.39 |env_step  51000 |time 09:00 rem 698:10
iter  26000 |loss   0.00 |n_ep  1601 |ep_len   26.3 |ep_rew  -0.27 |raw_ep_rew   0.91 |env_step  52000 |time 09:12 rem 699:06
iter  26500 |loss   0.00 |n_ep  1631 |ep_len   28.6 |ep_rew  -0.29 |raw_ep_rew   1.15 |env_step  53000 |time 09:23 rem 699:48
iter  27000 |loss   0.00 |n_ep  1663 |ep_len   29.9 |ep_rew  -0.17 |raw_ep_rew   1.23 |env_step  54000 |time 09:35 rem 700:40
iter  27500 |loss   0.00 |n_ep  1692 |ep_len   40.7 |ep_rew   0.09 |raw_ep_rew   1.22 |env_step  55000 |time 09:46 rem 701:20
iter  28000 |loss   0.01 |n_ep  1721 |ep_len   36.4 |ep_rew  -0.07 |raw_ep_rew   1.36 |env_step  56000 |time 09:58 rem 701:59
iter  28500 |loss   0.00 |n_ep  1758 |ep_len   25.5 |ep_rew  -0.38 |raw_ep_rew   1.04 |env_step  57000 |time 10:09 rem 702:43
iter  29000 |loss   0.00 |n_ep  1781 |ep_len   41.1 |ep_rew   0.07 |raw_ep_rew   1.34 |env_step  58000 |time 10:20 rem 703:16
iter  29500 |loss   0.00 |n_ep  1815 |ep_len   31.2 |ep_rew  -0.22 |raw_ep_rew   1.27 |env_step  59000 |time 10:32 rem 703:55
iter  30000 |loss   0.00 |n_ep  1841 |ep_len   37.0 |ep_rew   0.00 |raw_ep_rew   1.41 |env_step  60000 |time 10:43 rem 704:29
iter  30500 |loss   0.00 |n_ep  1871 |ep_len   27.3 |ep_rew  -0.31 |raw_ep_rew   1.50 |env_step  61000 |time 10:55 rem 704:59
