Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter  31000 |loss   0.05 |n_ep  6517 |ep_len   51.0 |ep_rew   0.49 |raw_ep_rew   6.06 |env_step 248000 |time 31:15 rem 977:00
iter  31500 |loss  -0.01 |n_ep  6597 |ep_len   50.8 |ep_rew   0.48 |raw_ep_rew   5.87 |env_step 252000 |time 31:45 rem 976:25
iter  32000 |loss  -0.04 |n_ep  6676 |ep_len   50.6 |ep_rew   0.44 |raw_ep_rew   8.01 |env_step 256000 |time 32:15 rem 975:51
iter  32500 |loss   0.06 |n_ep  6760 |ep_len   44.6 |ep_rew   0.32 |raw_ep_rew   6.47 |env_step 260000 |time 32:45 rem 975:18
iter  33000 |loss   0.14 |n_ep  6836 |ep_len   46.9 |ep_rew   0.44 |raw_ep_rew   8.43 |env_step 264000 |time 33:15 rem 974:43
iter  33500 |loss  -0.01 |n_ep  6916 |ep_len   49.3 |ep_rew   0.45 |raw_ep_rew   6.83 |env_step 268000 |time 33:45 rem 974:07
iter  34000 |loss   0.00 |n_ep  7000 |ep_len   46.8 |ep_rew   0.39 |raw_ep_rew   6.31 |env_step 272000 |time 34:16 rem 973:36
iter  34500 |loss  -0.06 |n_ep  7075 |ep_len   47.2 |ep_rew   0.36 |raw_ep_rew   7.43 |env_step 276000 |time 34:46 rem 973:00
iter  35000 |loss  -0.03 |n_ep  7159 |ep_len   48.0 |ep_rew   0.40 |raw_ep_rew   6.80 |env_step 280000 |time 35:16 rem 972:26
iter  35500 |loss   0.00 |n_ep  7239 |ep_len   47.0 |ep_rew   0.40 |raw_ep_rew   7.76 |env_step 284000 |time 35:46 rem 971:53
iter  36000 |loss   0.10 |n_ep  7314 |ep_len   51.4 |ep_rew   0.57 |raw_ep_rew   7.88 |env_step 288000 |time 36:16 rem 971:21
iter  36500 |loss  -0.05 |n_ep  7390 |ep_len   47.1 |ep_rew   0.35 |raw_ep_rew   8.49 |env_step 292000 |time 36:46 rem 970:45
iter  37000 |loss  -0.09 |n_ep  7469 |ep_len   46.5 |ep_rew   0.39 |raw_ep_rew   6.27 |env_step 296000 |time 37:16 rem 970:12
iter  37500 |loss  -0.03 |n_ep  7548 |ep_len   47.2 |ep_rew   0.42 |raw_ep_rew   7.96 |env_step 300000 |time 37:46 rem 969:37
iter  38000 |loss   0.01 |n_ep  7626 |ep_len   52.4 |ep_rew   0.52 |raw_ep_rew   7.57 |env_step 304000 |time 38:16 rem 969:05
